comment,label
I hope you get cancer and die,toxic
You are so kind,supportive
I hate your guts,toxic
I love your music,supportive
You are a b****,toxic
You are the best,supportive
Fuck you,toxic
You are the best,supportive
You are a b****,toxic
I love your sense of humor,supportive
I hate your video,toxic
I love your videos,supportive
I hate you so much,toxic
You are so smart,supportive
I hate you,toxic
You are so smart,supportive
Fuck you,toxic
I love your sense of humor,supportive
You are a b****,toxic
I love your style,supportive
I hate your guts,toxic
You are so talented,supportive
I hate your video,toxic
You are so kind,supportive
I hate your guts,toxic
I love you,supportive
I hope you die,toxic
I love your music,supportive
I hope you get cancer and die,toxic
You are so beautiful,supportive
I hate your guts,toxic
You are so kind,supportive
I hate you so much,toxic
I love your style,supportive
I hope you get cancer and die,toxic
I love your sense of humor,supportive
You are a b****,toxic
I love your music,supportive
I hope you get cancer and die,toxic
I love you,supportive
I hate your guts,toxic
I love your sense of humor,supportive
I hate you so much,toxic
I love your music,supportive
I hope you die,toxic
You are so beautiful,supportive
I hope you get cancer and die,toxic
I love your music,supportive
I hate you,toxic
You are the best,supportive
I hate you so much,toxic
You are so smart,supportive
Fuck you,toxic
You are so kind,supportive
Fuck you,toxic
You are so kind,supportive
You are a b****,toxic
I love your music,supportive
I hate your video,toxic
I love you,supportive
Fuck you,toxic
I love your sense of humor,supportive
You are a piece of s***,toxic
You are so talented,supportive
I hate your guts,toxic
I love your videos,supportive
Fuck you,toxic
I love your style,supportive
I hate your guts,toxic
I love you,supportive
I hate everything about you,toxic
You are so kind,supportive
You are a piece of s***,toxic
I love you,supportive
I hate your video,toxic
You are so talented,supportive
I hope you die,toxic
I love your sense of humor,supportive
I hate everything about you,toxic
I love your videos,supportive
You are a piece of s***,toxic
You are so kind,supportive
Fuck you,toxic
You are so kind,supportive
I hate your guts,toxic
You are so talented,supportive
I hate your video,toxic
I love you,supportive
I hate you so much,toxic
You are so kind,supportive
I hate your video,toxic
I love you,supportive
You are a b****,toxic
I love your style,supportive
I hope you die,toxic
I love you,supportive
Fuck you,toxic
You are so talented,supportive
You are a piece of s***,toxic
You are so kind,supportive
I hate your video,toxic
You are so smart,supportive
Fuck you,toxic
I love your videos,supportive
I hate everything about you,toxic
I love your sense of humor,supportive
I hate your video,toxic
I love your style,supportive
I hope you get cancer and die,toxic
You are so kind,supportive
Fuck you,toxic
You are so kind,supportive
I hope you get cancer and die,toxic
I love your videos,supportive
I hate you,toxic
You are so smart,supportive
Fuck you,toxic
You are so smart,supportive
I hate you so much,toxic
You are so smart,supportive
You are a piece of s***,toxic
I love your videos,supportive
I hate your video,toxic
You are so talented,supportive
I hate everything about you,toxic
I love your videos,supportive
I hope you get cancer and die,toxic
You are the best,supportive
I hate you,toxic
You are the best,supportive
I hope you get cancer and die,toxic
You are so talented,supportive
You are a b****,toxic
You are so kind,supportive
I hate you so much,toxic
You are so kind,supportive
I hate your guts,toxic
I love your music,supportive
I hate your guts,toxic
I love your videos,supportive
I hate you,toxic
You are so beautiful,supportive
I hate everything about you,toxic
I love you,supportive
You are a b****,toxic
I love your music,supportive
I hope you get cancer and die,toxic
I love you,supportive
I hope you get cancer and die,toxic
I love you,supportive
I hate you so much,toxic
You are so kind,supportive
I hope you get cancer and die,toxic
I love your videos,supportive
You are a piece of s***,toxic
I love your sense of humor,supportive
I hate you,toxic
I love your sense of humor,supportive
I hate your video,toxic
I love your style,supportive
I hate you,toxic
I love your style,supportive
Fuck you,toxic
You are so kind,supportive
I hate your video,toxic
You are the best,supportive
You are a b****,toxic
You are so beautiful,supportive
I hate your video,toxic
I love your style,supportive
I hate your guts,toxic
You are so talented,supportive
Fuck you,toxic
You are the best,supportive
Fuck you,toxic
I love you,supportive
I hate you,toxic
You are so talented,supportive
I hate your guts,toxic
You are so talented,supportive
I hate you,toxic
I love your videos,supportive
I hate you,toxic
You are so beautiful,supportive
I hate your guts,toxic
I love your sense of humor,supportive
I hope you get cancer and die,toxic
You are the best,supportive
I hope you die,toxic
I love your videos,supportive
I hate you so much,toxic
I love your videos,supportive
I hope you get cancer and die,toxic
You are the best,supportive
Fuck you,toxic
You are so smart,supportive
I hate you so much,toxic
I love your music,supportive
You are a b****,toxic
I love you,supportive
